alarm_id,device_id,start_timestamp,end_timestamp
14,14,15,604800
18,16,17,604800
17,8,70,604800
18,14,70,604800
17,13,82,604800
2,18,118,604800
11,23,131,604800
11,13,153,604800
1,16,157,604800
9,2,160,604800
17,14,177,604800
11,16,182,604800
11,8,201,604800
15,17,218,604800
17,24,230,604800
9,18,230,604800
4,8,231,604800
11,6,233,604800
19,22,236,604800
10,15,238,604800
7,4,244,604800
8,15,245,604800
7,15,246,604800
19,24,247,604800
4,6,249,604800
20,9,249,604800
11,16,251,604800
20,22,251,604800
12,12,252,604800
14,24,254,604800
18,12,255,604800
17,2,257,604800
4,16,258,604800
11,9,262,604800
11,22,263,604800
4,16,265,604800
4,17,266,604800
20,22,266,604800
9,22,266,604800
9,21,266,604800
4,15,268,604800
4,0,270,604800
7,24,271,604800
7,8,271,604800
20,17,273,604800
20,4,274,604800
9,21,275,604800
20,21,275,604800
11,24,275,604800
7,9,275,604800
11,4,279,604800
18,15,279,604800
11,17,279,604800
4,9,281,604800
11,22,281,604800
4,22,282,604800
11,9,284,604800
18,12,284,604800
17,16,284,604800
9,4,285,604800
18,6,285,604800
11,9,286,604800
11,8,287,604800
12,17,288,604800
8,11,289,604800
7,22,289,604800
20,24,292,604800
11,10,292,604800
11,22,292,604800
18,17,294,604800
20,16,294,604800
9,6,294,604800
4,19,295,604800
20,15,295,604800
0,3,296,604800
4,16,296,604800
11,22,297,604800
4,1,297,604800
11,16,297,604800
4,23,298,604800
11,23,298,604800
9,16,299,604800
9,22,299,604800
11,24,299,604800
20,24,300,604800
12,2,300,604800
20,22,304,604800
11,24,304,604800
11,2,304,604800
6,20,306,604800
11,9,307,604800
9,22,307,604800
20,17,307,604800
19,7,307,604800
18,17,309,604800
9,8,309,604800
18,17,309,604800
11,18,310,604800
4,9,312,604800
20,0,312,604800
20,17,312,604800
18,16,312,604800
11,2,313,604800
11,6,313,604800
11,0,313,604800
11,24,313,604800
11,2,313,604800
20,17,313,604800
11,21,314,604800
11,7,314,604800
11,9,314,604800
4,21,316,604800
11,15,316,604800
20,12,317,604800
18,24,317,604800
18,17,318,604800
8,24,319,604800
11,12,320,604800
4,16,320,604800
14,15,320,604800
18,12,320,604800
11,15,321,604800
11,24,321,604800
7,1,322,604800
18,18,322,604800
20,17,323,604800
20,12,323,604800
20,24,323,604800
7,15,326,604800
4,22,326,604800
11,8,326,604800
7,24,327,604800
11,9,327,604800
4,24,327,604800
4,24,327,604800
11,2,327,604800
11,6,328,604800
