alarm_id,device_id,start_timestamp,end_timestamp
15,35,465,4426
13,35,495,526
11,35,511,1834
13,35,538,718
3,35,577,1557
13,35,752,16818
14,35,903,6102
0,35,931,1473
14,35,967,1977
13,35,1057,1362
5,35,1057,3473
10,35,1090,2566
11,35,1137,4308
15,18,1425,2109
3,18,1427,5377
11,18,1447,2525
0,35,1478,7901
13,35,1505,2735
14,18,1505,2297
0,18,1512,9323
14,35,1519,9692
5,35,1549,12262
6,18,1562,11509
11,35,1563,3057
0,36,1570,4367
14,18,1571,2305
6,35,1573,6201
6,36,1573,3302
3,35,1577,2752
10,35,1614,3459
13,18,1615,11465
14,36,1617,3964
5,18,1642,5240
5,36,1660,10783
11,36,1681,1833
13,18,1702,7370
13,36,1735,1846
10,18,1755,10150
11,18,1774,14236
10,36,1855,2812
13,36,1918,3605
11,35,1920,8180
14,18,2364,2509
5,45,2419,3375
14,18,2510,4926
10,45,2551,4692
14,15,2678,9399
11,36,2685,5600
3,35,2762,4337
10,36,2819,5839
13,35,2910,14693
1,31,2970,6356
9,31,3034,8125
11,35,3112,5432
10,35,3131,3594
14,1,3204,10192
6,36,3337,11654
10,35,3460,5960
13,36,3725,9690
14,36,3981,7572
9,38,4065,6041
14,18,5083,14542
5,18,5458,8470
10,18,5466,8455
15,19,5549,7475
13,19,5586,6263
14,19,5628,7264
11,19,5645,8228
3,19,5678,8434
11,35,5687,9585
0,19,5785,6226
6,19,5860,8052
10,36,5865,6373
14,19,5916,7622
10,35,5960,6784
5,19,6015,6916
10,19,6085,28538
13,19,6102,6211
11,19,6117,10451
14,33,6136,7364
15,11,6152,6542
11,11,6161,6503
13,11,6213,7587
0,11,6222,10166
14,11,6227,7308
6,11,6257,6945
11,11,6268,8726
13,11,6280,18036
0,19,6285,6760
13,19,6290,8711
5,11,6290,8647
3,11,6321,7462
1,9,6369,7636
10,11,6392,7868
6,19,6398,7071
6,35,6406,6650
5,19,6415,9545
11,19,6416,12408
9,9,6432,7472
10,19,6434,9118
14,19,6463,7527
11,11,6509,17348
10,36,6544,8623
13,19,6561,8883
6,35,6681,9160
1,22,6785,9955
9,22,6826,10363
10,35,6877,12629
6,11,6964,12070
0,19,6992,7855
14,19,7042,8496
5,19,7062,12275
13,19,7114,19679
1,44,7298,7751
14,11,7338,13237
10,19,7370,7828
6,19,7383,12931
