alarm_id,device_id,start_timestamp,end_timestamp
8,21,596,3985
5,18,1086,2186
6,39,1291,1546
1,39,1292,7294
9,39,1308,2426
15,39,1360,8290
7,39,1400,4079
0,39,1482,2272
8,39,1533,5082
12,38,1539,2481
5,38,1561,3259
7,38,1679,1965
9,9,1757,2291
8,38,1792,7321
7,38,2026,2047
7,38,2100,5180
8,38,2230,5663
6,0,2293,13563
7,0,2306,4808
1,0,2311,8635
9,0,2321,7877
8,0,2452,10621
9,39,2462,5446
15,0,2467,2899
0,0,2683,2794
4,31,2719,4449
9,31,2790,3108
15,0,2916,10791
2,26,2982,9302
10,11,3030,4483
4,11,3049,3360
9,11,3056,6034
7,26,3061,3541
8,11,3070,3507
8,26,3071,10883
16,26,3082,4369
0,0,3099,3287
4,26,3104,4209
9,26,3181,10201
9,31,3197,7457
7,26,3204,8832
5,26,3223,3503
0,0,3321,10222
8,26,3336,3486
1,26,3354,6589
8,26,3523,4089
8,11,3550,3814
7,26,3552,7718
4,11,3555,7073
8,26,3557,4355
9,19,3658,6496
9,26,3725,7628
5,26,3755,8042
9,11,3759,4779
13,52,3978,14793
8,11,4031,7358
9,52,4053,9199
4,52,4079,7577
8,26,4090,5743
9,52,4109,4195
9,52,4223,5532
8,26,4406,4440
16,26,4443,6919
5,26,4457,9964
8,26,4502,6873
1,26,4545,8175
9,26,4555,7128
7,26,4589,6682
4,26,4607,7024
8,26,4729,13893
9,26,4801,5498
7,0,4833,5625
9,11,4836,9338
9,3,4911,5119
8,0,4975,6514
9,39,5478,6066
9,26,5523,6712
13,25,5584,7334
9,25,5587,7569
4,25,5597,7074
9,52,5602,6196
7,0,5654,6651
8,0,5750,8768
8,26,5753,7041
9,25,5957,8407
10,6,6033,11410
8,6,6034,6131
9,39,6143,7396
9,52,6216,10612
8,6,6289,6600
4,6,6320,6388
9,6,6329,17022
12,54,6400,11966
4,6,6418,15714
5,54,6463,11576
7,54,6472,6581
8,54,6481,7966
9,6,6487,7600
1,41,6642,8041
7,54,6644,9648
8,54,6646,10680
7,0,6673,7035
8,6,6676,10118
7,26,6682,9120
11,50,6702,8058
9,41,6714,6908
8,26,6720,12709
8,0,6794,10464
4,50,6820,7380
9,50,6896,10121
8,26,6904,7385
16,26,6924,9852
9,26,6936,10499
9,41,6963,7685
5,26,7023,11943
4,26,7061,8545
1,26,7066,7798
9,26,7083,11966
4,25,7095,9406
8,26,7102,8621
7,0,7103,8220
9,26,7158,19121
14,37,7164,10134
7,26,7203,10730
0,37,7225,9865
9,26,7274,15965
8,26,7296,28168
8,37,7335,13197
8,0,7342,8037
9,25,7358,7854
9,18,7385,12362
8,26,7404,7480
4,50,7421,7679
9,50,7484,9885
8,26,7573,11738
4,52,7596,12621
9,6,7628,10379
9,52,7655,8661
4,50,7704,16839
9,41,7711,11881
7,26,7748,9285
8,26,7786,14607
1,26,7847,9506
9,50,7881,11051
9,26,8008,11066
8,0,8054,9476
9,25,8142,9806
8,27,8220,8363
7,0,8221,15569
8,0,8258,11881
9,0,8363,10245
8,26,8651,10120
1,0,8695,12585
9,0,8810,17944
4,26,8813,9589
9,52,8828,10575
9,26,9110,12640
9,52,9241,9671
1,36,9339,11741
8,50,9363,9600
9,36,9455,13125
4,8,9504,10879
9,26,9535,11588
1,26,9535,12788
