alarm_id,device_id,start_timestamp,end_timestamp
3,30,38,39
8,27,59,59
3,3,73,101
7,17,75,118
1,3,77,98
7,38,85,146
1,5,88,88
1,17,92,145
1,17,97,111
1,36,102,110
4,12,108,132
1,0,117,187
1,26,129,293
7,30,147,155
2,23,161,354
6,29,164,244
5,23,174,251
4,17,176,223
1,23,186,189
1,29,189,189
8,38,192,208
1,29,192,199
0,29,192,192
4,23,193,207
1,23,197,227
7,4,204,209
4,29,211,231
1,29,218,275
1,14,219,224
4,23,226,226
0,23,227,239
1,35,231,249
10,29,234,336
1,29,235,242
5,14,237,269
8,14,238,248
4,19,238,249
1,14,239,246
1,23,240,294
4,14,240,311
1,31,241,254
4,23,241,294
1,19,242,249
5,8,245,330
4,19,246,251
4,14,248,251
6,3,254,286
1,14,256,278
1,8,258,275
4,31,261,291
6,14,262,269
1,31,263,269
4,19,265,297
9,38,274,297
3,29,275,404
9,23,278,281
4,38,279,293
5,23,283,296
4,29,284,298
1,11,284,390
5,29,285,296
7,38,286,296
1,14,287,314
4,38,289,303
5,38,298,338
4,3,299,434
7,8,300,310
5,23,301,359
9,38,301,316
4,11,303,310
1,7,304,305
5,29,304,305
0,14,306,337
9,23,308,311
1,31,308,339
8,19,309,327
1,23,311,352
4,29,311,315
10,23,312,330
1,11,313,321
5,23,314,315
4,11,316,359
6,14,316,361
1,7,316,345
4,26,319,326
4,29,320,492
1,29,321,327
4,29,322,342
9,19,323,333
1,13,324,364
6,29,327,379
4,5,328,348
1,8,329,334
4,29,330,336
10,19,332,390
1,5,333,374
1,29,337,434
1,38,338,346
5,14,340,365
7,29,353,409
1,29,354,440
9,14,355,432
3,14,361,458
1,19,362,500
7,38,363,372
4,29,366,385
1,3,372,383
4,14,374,378
4,11,383,404
7,6,390,453
7,31,391,418
1,8,392,405
7,38,392,420
1,7,393,394
7,23,395,397
4,38,397,410
7,23,400,430
1,31,401,484
1,20,402,417
1,6,403,404
1,7,411,446
4,23,417,491
4,7,426,453
1,14,427,456
7,19,429,443
3,11,432,466
1,31,432,477
7,14,435,435
4,7,441,508
4,14,456,490
7,11,458,479
